Date,Time,Direction,Type,Occupancy,Tint > 50% ,Tint Area
24/10/2023,9:48am,IN,Bus,100%,N/A,N/A
24/10/2023,9:50am,IN,Car,2,No,N/A
24/10/2023,9:50am,IN,Van,2,Yes,Front Door Quarter & Front Glass
24/10/2023,9:52am,IN,Car,2,Yes,Rear All & Front Glass & Front Quarter
24/10/2023,9:52am,IN,Car,2,No,N/A
24/10/2023,9:53am,IN,Car,2,Yes,Rear All
24/10/2023,9:53am,IN,Car,2,No,N/A
24/10/2023,9:53am,IN,Car,1,Yes,Rear All
24/10/2023,9:53am,IN,Car,2,Yes,Rear All
24/10/2023,9:54am,IN,Car,3,No,N/A
24/10/2023,9:54am,IN,Bus ,100%,N/A,N/A
24/10/2023,9:54am,IN,Car,1,Yes,Rear All
24/10/2023,9:55am,IN,A.V,1,No,N/A
24/10/2023,9:55am,IN,Car,1,Yes,Rear All
24/10/2023,9:55am,IN,Car,1,No,N/A
24/10/2023,9:56am,IN,Car,1,No,N/A
24/10/2023,9:57am,IN,Car,1,No,N/A
24/10/2023,9:57am,IN,Car,3,Yes,Rear All
24/10/2023,9:57am,IN,Bike,1,N/A,N/A
24/10/2023,9:59am,IN,Car,4,No,N/A
24/10/2023,9:59am,IN,Bike,1,N/A,N/A
24/10/2023,10:00am,IN,Truck,1,No,N/A
